COPC Name                                              ,CAS #      ,MW [g/mole],Tm [K] ,Vp [atm]    ,S [mg/L] ,H [atm*m^3/mol],Da [cm^2/s],Dw [cm^2/s],Kow         ,Koc [mL/g] ,Kds [cm^3/g],Kdsw [L/kg],Kdbs [cm^3/g],Ksg [1/year],Fv         ,RCF         ,Br root veg ,Br leafy veg   ,Br forage      ,Bv leafy veg,Bv forage   ,Ba milk [day/kg FW],Ba beef [day/kg FW],Ba pork [day/kg FW],BCF egg    ,BCF chicken,BCF Fish [L/kg FW tissue],BAF fish [L/kg FW],BSAF fish,RfD [mg/kg/day],Oral CSF [mg/kg/day]-1,RFC [mg/m^3],Inhalation URF [1/(µg/m^3)],Inhalation CSF [1/(mg/kg/day/)],Chemical type,Chemical Subtype,Br Grain   ,Ba egg     ,Ba chicken ,Inhalation RFD,TEF,FACTIVE
Hydroquinone,123-31-9   ,110,445,1.32E-08,72000,2.02E-11,0.0827,0.00000958,3.89,3.8,0.038,0.285,0.152,36.1,0.957,6.97,183,17.7,17.7,11800,11800,0.0000435,0.000207,0.00025,           ,           ,3.16,                  ,         ,0.04,0.056,            ,                           ,                               ,O            ,                ,17.7,0.0000871,0.000152,              ,   ,T      
"Indeno(1,2,3-cd) Pyrene                                ",193-39-5   ,276,433,1.32E-13,0.000022,0.0000016,0.001,0.00001,3980000,3080000,530000,231000,123000,0.48,0.005,28100,0.0529,0.00593,0.00593,373000,373000,0.00619,0.0294,0.0356,65.3,           ,24100,618000,         ,               ,0.12,            ,0.00013,                               ,O            ,PAH             ,0.00593,0.0124,0.0217,              ,   ,T      
Isophorone                                             ,78-59-1    ,138,265,0.000576,12000,0.00000664,0.0623,0.00000676,46.8,43.8,0.44,3.29,1.75,9.03,1,10.8,24.6,4.2,4.2,0.506,0.506,0.000357,0.0017,0.00205,0.000397,           ,3.85,3.85,         ,0.2,0.00095,2,                           ,                               ,O            ,                ,4.2,0.000714,0.00125,              ,   ,T      
Lead                                                   ,7439-92-1  ,209,603,0,9580,0.025,0.0772,0.00000957,5.37,           ,900,900,900,            ,0,            ,0.009,0.0136,0.045,            ,            ,0.00025,0.0003,                   ,           ,           ,0.09,                  ,         ,               ,0.0085,0.00015,0.000012,                               ,I            ,Metal           ,0.009,           ,           ,              ,   ,T      
Lead_2013_point                                         ,7439-92-1-2013,209,603,0,9580,0.025,0.0772,0.00000957,5.37,           ,900,900,900,            ,0,            ,0.009,0.0136,0.045,            ,            ,0.00025,0.0003,                   ,           ,           ,0.09,                  ,         ,               ,0.0085,0.00015,0.000012,                               ,I            ,Metal           ,0.009,           ,           ,              ,   ,T      
Maleic Anhydride                             ,108-31-6   ,98.1,326,0.000211,4910,0.00000421,0.0894,0.0000103,41.7,39.2,0.392,2.94,1.57,8.43,1,10.4,26.6,4.48,4.48,0.706,0.706,0.000328,0.00156,0.00189,           ,           ,3.53,                  ,         ,0.1,                    ,0.0007,                           ,                               ,O            ,                ,4.48,0.000656,0.00115,              ,   ,T      
Manganese,7439-96-5  ,55,1470,0,55,0,0.131,0,1.7,13.22,            ,0.9915,0.5288,0.00000253,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,0.14,                    ,0.0002,                           ,                               ,I            ,Metal           ,           ,           ,           ,              ,   ,T      
Mercuric Chloride                                      ,7487-94-7  ,271.52,550.1,0.00012,69000,7.1E-10,0.045312607,0.00000525,0.609536897,           ,58000,100000,50000,            ,0.85,            ,0.036,0.0145,               ,1800,1800,0.002262,0.00522,0.0000339,0.023925,           ,                         ,                  ,         ,               ,                    ,            ,                           ,                               ,I            ,Divalent        ,0.0093,0.023925,0.023925,              ,   ,T      
Mercury                                                ,7439-97-6  ,201,234,0.00000263,0.06,0.0071,0.0109,0.0000301,4.17,           ,1000,1000,3000,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,0.00016,                    ,0.0003,                           ,                               ,I            ,Metal           ,           ,           ,           ,              ,   ,T      
Methane            ,74-82-8    ,16.04,121.07,696,2610,0.414,           ,           ,6.03,3.979,            ,0.298425,0.15916,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,1.922,1.922,         ,               ,                    ,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Methanol                                               ,67-56-1    ,32,175,0.166,1000000,0.00000455,0.15,0.0000164,0.17,0.18,0.002,0.01,0.007,36.1,1,6.39,3650,8.38,8.38,0.00186,0.00186,0.00000191,0.00000907,0.000011,0.00000155,           ,3.16,                  ,         ,2,                    ,20,                           ,                               ,O            ,                ,8.38,0.00000382,0.00000668,              ,   ,T      
Triethylene Glycol Monomethyl Ether,112-35-6,164.2,298.95,0.00000455,1000000,1E-11,,,0.0347,10,,0.75,0.4,,0.99978,,,,,,,,,,,,0.8939,0.8939,,,,,,,,,,,,,,T      
Methyl Bromide (Bromomethane)                          ,74-83-9    ,94.9,179,2.13,15200,0.00624,0.0728,0.0000121,15.5,9,0.09,0.675,0.36,9.03,1,8.22,91.4,7.95,7.95,0.000166,0.000166,0.00015,0.000711,0.000861,0.000103,           ,1.65,                  ,         ,0.0014,                    ,0.005,                           ,                               ,O            ,                ,7.95,0.000299,0.000524,              ,   ,T      
Methyl Cellosolve                  ,109-86-4,118,203,0.00263,1000000,0.000000311,0.0658,0.00000871,1.16,2.49,0.0249,0.187,0.0996,6.96,1,6.59,264,33.9,33.9,0.23,0.23,0.0000141,0.0000668,0.0000809,           ,           ,3.16,0.928,         ,0.008,                    ,0.09,                           ,                               ,O            ,                ,38.7,0.0000281,0.0000492,              ,   ,T      
Methyl Cellosolve Acetate                              ,110-49-6   ,118,203,0.00263,1000000,0.000000311,0.0658,0.00000871,1.16,2.49,0.0249,0.187,0.0996,6.96,1,6.59,264,33.9,33.9,0.23,0.23,0.0000141,0.0000668,0.0000809,           ,           ,3.16,0.928,         ,0.008,                    ,0.09,                           ,                               ,O            ,                ,38.7,0.0000281,0.0000492,              ,   ,T      
Methyl Chloride (Chloromethane)                        ,74-87-3    ,50.5,175,5.66,5330,0.00882,0.126,0.0000065,8.13,6.3,0.06,0.47,0.25,9.03,1,7.47,119,8.38,8.38,0.000059,0.000059,0.0000859,0.000408,0.000494,0.0000635,           ,3.16,                  ,         ,               ,                    ,0.09,                           ,                               ,O            ,                ,8.38,0.000172,0.000301,              ,   ,T      
Methyl Chrysene 5-                                 ,3697-24-3  ,242,423,3.33E-10,0.062,0.0000013,0.0489,0.00000566,1170000,927000,9270,69500,37100,2.11,0.359,11000,1.18,0.012,0.012,125000,125000,0.00775,0.0368,0.0446,4.36,           ,9420,177000,         ,               ,1.7,            ,0.0018,                               ,O            ,PAH             ,0.012,0.0155,0.0271,              ,   ,T      
Methyl Ethyl Ketone (2-Butanone)                       ,78-93-3    ,72.1,186,0.125,220000,0.000056,0.0808,0.0000098,1.95,1.93,0.29,0.14,0.08,36.1,1,6.7,23.1,8.38,8.38,0.00203,0.00203,0.0000221,0.000105,0.000127,0.0000151,           ,3.16,                  ,         ,0.6,                    ,5,                           ,                               ,O            ,                ,8.38,0.0000442,0.0000773,              ,   ,T      
Methyl Hydrazine                              ,60-34-4    ,46.1,221,0.0658,1000000,0.00000303,0.148,0.0000171,0.0891,0.0929,0.000929,0.00697,0.00372,10.5,1,6.39,6880,157,157,0.0014,0.0014,0.00000191,0.00000907,0.000011,           ,           ,3.16,                  ,         ,0.001,3,            ,0.001,                               ,O            ,                ,157,0.00000382,0.00000668,              ,   ,T      
Methyl Iodide                                          ,74-88-4    ,142,207,0.533,13800,0.00548,0.0698,0.00000809,32.4,18.8,0.188,1.41,0.752,9.03,1,9.69,51.5,5.19,5.19,0.000414,0.000414,0.00027,0.00128,0.00155,           ,           ,2.9,                  ,         ,               ,2.9,            ,                           ,                               ,O            ,                ,5.19,0.000541,0.000946,              ,   ,T      
Methyl Isobutyl Ketone                                 ,108-10-1   ,100,189,0.0263,19000,0.00014,0.075,0.0000078,15.9,15.1,2.2,1.13,0.61,36.1,1,8.26,3.75,7.84,7.84,0.00757,0.00757,0.000153,0.000725,0.000877,0.000123,           ,1.67,                  ,         ,,                    ,3,                           ,                               ,O            ,                ,7.84,0.000305,0.000534,              ,   ,T      
Methyl Isocyanate,624-83-9,57.05,77.8,0.5764,29000,0.000926,0.117,0.0000131,6.17,39.6,,2.97,1.584,,1,,,,,13.4,13.4,4.87E-08,0.000000154,,,,1.354,1.354,,,,1,,,,,,,,,,T      
Methyl Mercury                                         ,22967-92-6 ,216,       ,            ,         ,0.00000047,0.052777778,0.00000611,            ,           ,7000,100000,3000,            ,           ,            ,0.099,0.0294,               ,            ,            ,0.000338,0.00078,0.00000507,0.003575,           ,                         ,6800000,         ,0.0001,                    ,0.00035,                           ,                               ,O            ,                ,0.019,0.003575,0.003575,              ,   ,T      
Methyl Methacrylate                            ,80-62-6    ,100,225,0.0507,15000,0.000338,0.0881,0.0000102,24,22.7,0.227,1.71,0.91,8.43,1,8.99,39.5,6.17,6.17,0.00488,0.00488,0.000214,0.00102,0.00123,           ,           ,2.31,                  ,         ,1.4,                    ,0.7,                           ,                               ,O            ,                ,6.17,0.000428,0.000749,              ,   ,T      
Methyl Tert Butyl Ether                          ,1634-04-4  ,88.2,164,0.329,51000,0.000569,0.0959,0.0000111,8.71,8.4,0.084,0.63,0.336,8.43,1,7.54,89.7,11.1,11.1,0.000986,0.000986,0.0000913,0.000434,0.000525,           ,           ,3.16,                  ,         ,0.14,0.0018,3,0.00000026,                               ,O            ,                ,11.1,0.000183,0.000319,              ,   ,T      
"Methylanthracenes, Unspeciated     ",26914-18-1 ,256,423,2.63E-10,0.061,0.00000111,0.0471,0.00000545,631000,503000,5030,37700,20100,0.7,0.307,6790,1.35,0.0172,0.0172,76000,76000,0.00827,0.0393,0.0476,3.79,           ,5830,133000,         ,               ,255,            ,,                               ,O            ,PAH             ,0.0172,0.0165,0.029,              ,   ,T      
Methylbenzopyrene,65357-69-9,266,453,7.24E-12,0.0016,0.0000011,0.043,0.000009,1000000,969000,160000,72700,38800,0.48,0.294,9680,0.0605,0.0132,0.0132,125000,125000,0.00791,0.0376,0.0455,10.7,           ,961.6,1165,         ,               ,1.7,            ,0.0018,                               ,O            ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
Methylcholanthrene 3-                         ,56-49-5    ,268,443,1.92E-11,0.0029,0.00000178,0.0457,0.00000529,2630000,2050000,20500,154000,81900,0.25,0.0313,20400,0.996,0.00754,0.00754,216000,216000,0.00678,0.0322,0.039,4.36,           ,17500,497000,         ,               ,22,            ,0.01,                               ,O            ,PAH             ,0.00754,0.0136,0.0237,              ,   ,T      
Methylene Chloride                                     ,75-09-2    ,84.9,178,0.566,13000,0.0022,0.101,0.0000117,20,10,0.024,0.75,0.4,9.03,1,8.64,359,6.86,6.86,0.000616,0.000616,0.000184,0.000876,0.00106,0.000143,           ,2,                  ,         ,0.006,0.002,0.6,0.00000047,                               ,O            ,                ,6.86,0.000369,0.000645,              ,   ,T      
"Methylene Dianiline 4,4-                         ",101-77-9   ,198.268,365.65,0.00390852,1000,0.000775,0.0559,0.00000647,38.9045145,36.58053055,0.365805305,2.743539791,1.463221222,3.3726,0.999999848,10.20133995,27.88734827,4.666378903,4.666378903,0.003560333,0.003560333,0.000311,0.00148,0.00179,           ,           ,3.344259735,                  ,         ,0.08,1.6,0.02,0.00046,                               ,O            ,                ,4.666378903,0.000622,0.00109,              ,   ,T      
"Methylenediphenyl Diisocyanate 4,4-                   ",101-68-8   ,250,311,6.58E-09,0.829,0.00000199,0.0478,0.00000554,166000,135000,1350,10200,5420,3.37,0.917,2430,1.79,0.0372,0.0372,10200,10200,0.00851,0.0404,0.0489,           ,           ,2090,10400,         ,               ,                    ,0.0006,                           ,                               ,O            ,                ,82.7,0.017,0.0298,              ,   ,T      
Methylnaphthalene 1-                                           ,90-12-0    ,142.2,296.15,0.0000482,40.62,0.00058,0.0528,0.00000785,5250,2528,62.3,189.6,101.12,8.4,1,218,3.5,0.228,0.228,0.219,0.219,0.0000586,0.000185,0.0286,0.0187,           ,498.2,500.2,         ,               ,                    ,            ,                           ,                               ,O            ,PAH             ,0.228,0.00996,0.0174,              ,   ,T      
Methylnaphthalene 2-                                    ,91-57-6    ,142,307,0.0000724,24.6,0.000419,0.0697,0.00000808,7240,6230,62.3,467,249,8.4,1,218,3.5,0.228,0.228,1.72,1.72,0.00498,0.0237,0.0286,0.0187,           ,187,500.2,         ,0.004,                    ,            ,                           ,                               ,O            ,PAH             ,0.228,0.00996,0.0174,              ,   ,T      
Methylpyrene 1-,2381-21-7,216.28,406,2.3E-09,0.058,0.00000916,,,300000,89000,,,,,0.9626,,,,,,,,,,,,502.6,515.9,,,,,,,,,,,,,,
Monochlorobiphenyl 2-                          ,2051-60-7  ,326,283,0.000000101,0.043,0.000283,0.001,0.00001,3160000,2450000,24500,184000,98100,0.03,0.992,23500,0.958,0.00678,0.00678,1650,1650,0.00652,0.031,0.0375,12.8,           ,84100,                  ,2,,,0.0013,0.0001,                               ,O            ,,0.01,0.013,0.032,              ,   ,T      
Naphthalene                                            ,91-20-3    ,128,353,0.000112,31,0.00048,0.059,0.0000075,2000,1190,300,89.3,47.6,5.27,1,80.7,0.269,0.479,0.479,0.381,0.381,0.00313,0.0149,0.018,0.0187,           ,69.3,69.3,         ,0.02,,0.009,0.000034,                               ,O            ,PAH             ,0.479,0.00625,0.0109,              ,   ,T      
NHexane,110-54-3   ,86.2,178,0.199,9.5,1.8,0.0974,0.0000113,7940,1470,14.7,110,58.7,14.9,1,234,15.9,0.216,0.216,0.000442,0.000442,0.00512,0.0243,0.0294,           ,           ,201,                  ,         ,,                    ,2,                           ,                               ,O            ,                ,0.216,0.0102,0.0179,              ,   ,T      
NHexyl Carbitol                                 ,112-59-4   ,190.29,314.52,0.00000223,5602,2.68E-09,           ,           ,18.6,10,            ,0.75,0.4,            ,0.999312,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,4.497,4.497,         ,               ,                    ,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Nickel                                                 ,7440-02-0  ,58.7,1770,0,422000,0.025,0.0772,0.00000957,0.269,           ,65,65,65,            ,0,            ,0.008,0.00931,0.032,            ,            ,0.001,0.006,                   ,           ,           ,78,                  ,         ,0.02,                    ,0.000014,0.00048,                               ,I            ,Metal           ,0.006,           ,           ,              ,   ,T      
Nitrobenzene                                           ,98-95-3    ,123,279,0.000322,2090,0.000024,0.076,0.0000086,70.8,119,1.19,8.93,4.76,1.28,1,12.5,10.5,3.3,3.3,0.217,0.217,0.000482,0.00229,0.00277,0.00054,           ,5.3,                  ,         ,0.002,                    ,0.009,0.00004,                               ,O            ,                ,3.3,0.000963,0.00169,              ,   ,T      
Nitrobiphenyl 4-,92-93-3,199.21,384.29,0.000039,9.835,0.0000016,0.0557,0.00000651,3720,7966,,,,,1,,,,,0.234,0.234,0.0000522,0.000165,,,,405.9,406.7,,,,,,,,,,,,,,
Nitrogen Dioxide,10102-44-0,46,262,0.948,1000000,               ,0.148,           ,            ,           ,            ,,,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,                    ,            ,                           ,                               ,I            ,                ,           ,           ,           ,              ,   ,T      
Nitrogen Dioxide_2013_point,10102-44-0-2013,46,262,0.948,1000000,               ,0.148,           ,            ,           ,            ,,,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,                    ,            ,                           ,                               ,I            ,                ,           ,           ,           ,              ,   ,T      
"Nitrophenol, 4-                                        ",100-02-7   ,139,387,5.39E-08,11600,4.15E-10,0.001,0.00001,81.3,75.5,0.75,5.66,3.02,209,0.999,13.2,17.5,3.05,3.05,14600,14600,0.00053,0.00252,0.00305,0.000646,           ,5.9,                  ,         ,,                    ,            ,                           ,                               ,O            ,                ,3.05,0.00106,0.00186,              ,   ,T      
Nitropropane 2-        ,79-46-9    ,89.1,182,0.0226,17000,0.000119,0.0952,0.000011,8.51,8.21,0.0821,0.616,0.329,8.43,1,7.52,91.5,11.2,11.2,0.00461,0.00461,0.0000894,0.000425,0.000514,           ,           ,3.16,                  ,         ,,,0.02,                           ,                               ,O            ,                ,11.2,0.000179,0.000313,              ,   ,T      
"Nitropyrene, 1-",5522-43-0,247.26,444.56,1.09E-10,0.03697,3.27E-08,,,56200,86000,,6450,3440,,0.684,,,,,,,,,,,,103.8,103.8,,,1.2,,0.00018,,,,,,,,,
Nitrosodimethylamine n-                                 ,62-75-9    ,74.1,234,0.00355,1000000,0.00000182,0.0988,0.0000115,0.27,22.8,0.228,1.71,0.912,0.000385,1,6.39,28,82.5,82.5,0.00762,0.00762,0.00000252,0.000012,0.0000145,           ,           ,3.16,                  ,         ,0.000008,51,            ,0.014,                               ,O            ,                ,82.7,0.00000504,0.00000882,              ,   ,T      
Nitrosomorpholine N-,59-89-2,116.12,289.93,0.000176,246000,1.41E-08,,,0.371,22.51,,1.68825,0.9004,,1,,,,,,,,,,,,0.9034,0.9034,,,,,,,,,,,,,,
Nitrous Oxide,10024-97-2,46,262,0.948,1000000,               ,0.148,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOX                                                    ,E17134099  ,46,262,0.948,1000000,               ,0.148,           ,            ,           ,            ,,,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,                    ,            ,                           ,                               ,I            ,                ,           ,           ,           ,              ,   ,T      
NOX_2013_point                                               ,E17134099-2013,46,262,0.948,1000000,               ,0.148,           ,            ,           ,            ,,,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,                    ,            ,                           ,                               ,I            ,                ,           ,           ,           ,              ,   ,T      
"OctaCDD, 1,2,3,4,6,7,8,9-                              ",3268-87-9  ,461,599,1.09E-15,0.000000074,0.00000675,0.0869,0.000008,158000000,97700000,977000,7330000,3910000,0.03,0.002,479000,0.49,0.000705,0.000705,2360000,2360000,0.00144,0.00686,0.0083,0.0099,0.05,1470,                  ,0.0001,0.00000233,420,0.000133333,0.12,                               ,O            ,D               ,0.000705,0.00289,0.00505,0.0003,   ,T      
"OctaCDF, 1,2,3,4,6,7,8,9-                              ",39001-02-0 ,445,532,4.93E-15,0.00000116,0.00000188,0.0195,0.000008,100000000,61700000,617000,4620000,2470000,0.03,0.002,479000,0.776,0.00092,0.00092,2280000,2280000,0.00185,0.00877,0.0106,0.00792,0.02,2750,                  ,0.0001,0.00000233,420,0.000133333,0.12,                               ,O            ,F               ,0.00092,0.00369,0.00646,0.0003,   ,T      
"PentaCDD, 1,2,3,7,8-                                   ",40321-76-4 ,356,514,5.79E-13,0.000118,0.0000026,0.0989,0.000008,4370000,2690000,26900,202000,108000,0.03,0.117,30100,1.12,0.00562,0.00562,239000,239000,0.00605,0.0288,0.0348,0.0471,2.5,25900,                  ,0.09,7E-10,1400000,0.00000004,400,                               ,O            ,D               ,0.00562,0.0121,0.0212,1,   ,T      
"PentaCDF, 1,2,3,7,8-                                   ",57117-41-6 ,340,499,2.23E-12,0.00024,0.000005,0.0223,0.000008,6170000,3800000,38000,285000,152000,0.03,0.268,39300,1.03,0.00461,0.00461,97500,97500,0.00553,0.0263,0.0318,           ,           ,33800,                  ,0.09,2.33E-09,42000,0.00000133,12,                               ,O            ,F               ,0.00461,0.0111,0.0194,0.03,   ,T      
"PentaCDF, 2,3,4,7,8-                                   ",57117-31-4 ,340,469,3.42E-12,0.000236,0.00000498,0.0223,0.000008,3160000,1950000,19500,146000,78000,0.03,0.221,23500,1.21,0.00678,0.00678,97500,97500,0.00652,0.031,0.0375,0.0561,3.28,20200,                  ,0.09,2.33E-10,420000,0.000000133,120,                               ,O            ,F               ,0.00678,0.013,0.0228,0.3,   ,T      
"Pentachlorobiphenyls, Unspeciated",25429-29-2 ,326,283,0.000000101,0.043,0.000283,0.001,0.00001,3160000,2450000,24500,184000,98100,0.03,0.992,23500,0.958,0.00678,0.00678,1650,1650,0.00652,0.031,0.0375,12.8,           ,84100,                  ,2,0.00002,140000,0.0000004,3.8,                               ,O            ,PCB             ,0.01,0.013,0.032,              ,   ,T      
Pentachloronitrobenzene (PCNB)                         ,82-68-8    ,295.32,417.15,0.000000149,0.55,0.00038,0.001,0.00001,43651.58322,36425.04,364.25,2731.88,1457,0.36,1,869,2.38,0.0806,0.0806,12.9,12.9,0.007506363,0.035655227,0.04316159,0.346740161,           ,746,1622.77856,         ,0.003,,0.011,0.000074,                               ,O            ,                ,0.0806,0.015012727,0.026272272,              ,   ,T      
Pentachlorophenol                                      ,87-86-5    ,266,443,4.21E-08,2000,0.000000024,0.056,0.0000061,126000,592,1.2,44.4,23.7,1.42,0.999,1960,1640,0.0437,0.0437,629000,629000,0.0000139,0.0000662,0.0000802,0.955,           ,671,2450,         ,0.005,0.4,            ,0.0000051,                               ,O            ,Ionizing        ,0.0437,0.0000279,0.0000488,              ,   ,T      
"Pentafluoroethane 1,1,1,2,2- (HFC-125)",354-33-6,120.02,111.93,9.33,867.3,3.05,,,35.5,136.2,,10.215,5.448,,1,,,,,,,,,,,,4.387,4.387,,,,,,,,HFC,,,,,,
"Perfluoro compounds (PFCs), Unspeciated",86508-42-1,588.08,258.46,0.00234,0.00000362,73800000,,,151000000,144000000,,10800000,5760000,,1,,,,,,,,,,,,2301,8460000,,,,,,,,PFC,,,,,,
Perylene              ,198-55-0   ,252.32,443.4,1.76E-12,0.008195,0.00000081,0.0255,0.00000658,1290000,599000,160000,44925,23960,0.48,0.652,9680,0.0605,0.0132,0.0132,0.00913,0.00913,0.014,0.0445,0.0455,10.7,           ,267.7,286.4,         ,               ,                    ,            ,                           ,                               ,O            ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
Phenanthrene                                           ,85-01-8    ,178,372,0.000000145,1.1,0.000023,0.001,0.00001,31600,26500,3700,1990,1060,1.26,0.999,678,0.183,0.097,0.0971,151,151,0.00712,0.0338,0.0409,0.282,           ,582,1030,         ,               ,                    ,            ,                           ,                               ,O            ,PAH             ,0.0971,0.0142,0.0249,              ,   ,T      
Phenol                                                 ,108-95-2   ,94.1,314,0.000368,83000,0.0000004,0.082,0.0000091,31.6,29.8,4.4,2.24,1.2,25.3,1,9.63,2.19,5.26,5.26,5.53,5.53,0.000265,0.00126,0.00153,0.000238,           ,2.85,                  ,         ,0.3,                    ,0.2,                           ,                               ,O            ,Ionizing        ,5.26,0.00053,0.000928,              ,   ,T      
Phenyl Cellosolve                                       ,122-99-6   ,138.17,296.47,0.0000059,28000,0.0000155,           ,           ,12.6,14.92,            ,1.119,0.5968,            ,0.999813,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,1.864,1.864,         ,               ,                    ,            ,                           ,                               ,             ,                ,           ,           ,           ,              ,   ,T      
Phenylenediamine N,106-50-3,108.14,236.83,0.000000858,199000,6.73E-10,0.0837,0.00000978,0.407,33.83,,2.53725,1.3532,,0.9999,,,,,57.5,57.5,3.96E-09,1.25E-08,,,,0.9124,0.9124,,,,,,,,,,,,,,
Phosphine,7803-51-2  ,34,140,41,312,               ,0.181,           ,490000,           ,            ,#VALUE!,#VALUE!,36.1,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,0.0003,                    ,0.0003,                           ,                               ,I            ,                ,           ,           ,           ,              ,   ,T      
Phosphorus (Yellow OR White)                           ,7723-14-0  ,124,317,0.0000342,3,               ,           ,           ,1200,           ,            ,#VALUE!,#VALUE!,10.1,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,0.00002,                    ,            ,                           ,                               ,I            ,Metal           ,           ,           ,           ,              ,   ,T      
"Phthalic anhydride (1,2-Benzene dicarboxylic anhydride)",85-44-9    ,148.12,403.95,0.00000068,6200,1.63E-08,0.071,0.0000086,0.239883292,0.25,0.002,0.02,0.01,13490.4,1,6.39,2599,8.38,8.38,0.75,0.75,0.00000219,0.0000104,0.0000126,0.00000199,           ,3.16,                  ,         ,2,                    ,0.02,                           ,                               ,O            ,                ,8.38,0.00000438,0.00000767,              ,   ,T      
PM                                                     ,E1647593   ,           ,273,            ,         ,               ,           ,           ,            ,           ,            ,,,            ,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,                    ,            ,                           ,                               ,             ,                ,           ,           ,           ,              ,   ,T      
PM_2013_point,E1647593-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10                                                   ,E1647619   ,           ,273,            ,         ,               ,           ,           ,            ,           ,            ,,,            ,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,                    ,            ,                           ,                               ,             ,                ,           ,           ,           ,              ,   ,T      
PM10_2013_point,E1647619-2013,           ,273,            ,         ,               ,           ,           ,            ,           ,            ,,,            ,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,                    ,            ,                           ,                               ,             ,                ,           ,           ,           ,              ,   ,T      
PM2.5 Diesel,MDPM25     ,           ,273,            ,         ,               ,           ,           ,            ,           ,            ,,,            ,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,                    ,0.005,0.0003,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
PM2.5 Diesel_2013_point,MDPM25-2013 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PM2.5,PRIMRY                                           ",E1647635   ,           ,273,            ,         ,               ,           ,           ,            ,           ,            ,,,            ,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,                    ,            ,                           ,                               ,             ,                ,           ,           ,           ,              ,   ,T      
"PM2.5,PRIMRY_2013_point                          ",E1647635-2013 ,           ,273,            ,         ,               ,           ,           ,            ,           ,            ,,,            ,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,                    ,            ,                           ,                               ,             ,                ,           ,           ,           ,              ,   ,T      
"PM2.5,SECONDARY                                        ",E1647636   ,           ,273.15,            ,         ,               ,           ,           ,            ,           ,            ,,,            ,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,                    ,            ,                           ,                               ,             ,                ,           ,           ,           ,              ,   ,T      
"Polychlorinate Biphenyls (PCBS), Unspeciated         ",1336-36-3  ,326,283,0.000000101,0.043,0.000283,0.001,0.00001,3160000,2450000,24500,184000,98100,0.03,0.992,23500,0.958,0.00678,0.00678,1650,1650,0.00652,0.031,0.0375,12.8,           ,84100,                  ,2,0.00005,2,0.0000004,0.0001,                               ,O            ,PCB             ,0.01,0.013,0.032,              ,   ,T      
"Propane Sultone 1,3-",1120-71-4,122.14,299.5,0.000313,170700,0.00000236,0.0731,0.0000104,0.525,9.411,,0.705825,0.37644,,1,,,,,56,56,4.15E-09,1.31E-08,,,,0.9196,0.9196,,,2.4,,0.00069,,O            ,,,,,,,
"Propoxyethylacetate, 2-",20706-25-6,146.18,,0.000917,,,,,,104.82,,7.8615,4.1928,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propyl Cellosolve                                 ,2807-30-9  ,104.15,241.86,0.001795,317000,7.38E-08,           ,           ,1.2,1.549,            ,0.116175,0.06196,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,0.962,0.962,         ,               ,                    ,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
