SCC Code,Data Category Code,Short Desc,Level 1 Desc,Level 2 Desc,Level 3 Desc,Level 4 Desc,EI Sector
2811500182,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Hay (wild): Backfire Burning,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Hay (wild): Backfire Burning,Fires - Agricultural Field Burning
2811500181,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Hay (wild): Headfire Burning,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Hay (wild): Headfire Burning,Fires - Agricultural Field Burning
2811500192,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Oats: Backfire Burning,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Oats: Backfire Burning,Fires - Agricultural Field Burning
2811500191,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Oats: Headfire Burning,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Oats: Headfire Burning,Fires - Agricultural Field Burning
2811500202,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Pea: Backfire Burning,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Pea: Backfire Burning,Fires - Agricultural Field Burning
2811500201,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Pea: Headfire Burning,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Pea: Headfire Burning,Fires - Agricultural Field Burning
2811500210,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Pineapple: Burning Techniques Not Significant,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Pineapple: Burning Techniques Not Significant,Fires - Agricultural Field Burning
2811500220,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Rice: Burning Techniques Not Significant,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Rice: Burning Techniques Not Significant,Fires - Agricultural Field Burning
2811500230,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Safflower: Burning Techniques Not Significant,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Safflower: Burning Techniques Not Significant,Fires - Agricultural Field Burning
2811500240,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Sorghum: Burning Techniques Not Significant,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Sorghum: Burning Techniques Not Significant,Fires - Agricultural Field Burning
